hashed_author,first_name,tag
nucl-ex|Pagliarone|C. E.,C. E.,initial
astro-ph|Buchlin|E.,E.,initial
astro-ph|Luszczak|W.,W.,initial
hep-ex|Boudreau|J.,J.,initial
astro-ph|Hauser|M.,M.,initial
cond-mat|Kushnirenko|Y.,Y.,initial
astro-ph|Kappel|D.,D.,initial
physics|Johnston|R.,R.,initial
astro-ph|Avila-Alvarez|A.,A.,initial
hep-ph|Vorobyev|V.,V.,initial
astro-ph|Ferrari|A.,A.,initial
physics|MacDonell|D.,D.,initial
hep-ex|Correa|P.,P.,initial
astro-ph|Takami|M.,M.,initial
hep-ph|Cai|X.,X.,initial
physics|Kim|S. -Y.,S. -Y.,initial
nucl-ex|Totev|T. I.,T. I.,initial
nucl-ex|Thomas|E.,E.,initial
physics|Zhu|C.,C.,initial
hep-ex|Liptak|Z.,Z.,initial
nucl-ex|Dorosz|P.,P.,initial
hep-ex|Bellenghi|C.,C.,initial
nucl-th|Xu|X.,X.,initial
hep-ex|Santoro|V.,V.,initial
astro-ph|Gallego|M. C.,M. C.,initial
physics|Mazza|S. M.,S. M.,initial
physics|Pfeifer|T.,T.,initial
physics|Brooijmans|G.,G.,initial
physics|Liu|T.,T.,initial
astro-ph|Pandey|V. N.,V. N.,initial
physics|Adelmann|C.,C.,initial
physics|Réal|J. -S.,J. -S.,initial
hep-ex|Longo|G.,G.,initial
hep-ph|Gironell|P. Gironella,P. Gironella,initial
nucl-ex|Topilskaya|N.,N.,initial
hep-ex|Ogawa|A.,A.,initial
hep-ex|Frantz|J. E.,J. E.,initial
astro-ph|Moralejo|A.,A.,initial
hep-ex|Kanzawa|K.,K.,initial
astro-ph|Stach|S. M.,S. M.,initial
hep-ex|Marcinek|A.,A.,initial
astro-ph|Reggiani|M.,M.,initial
astro-ph|Moriya|T. J.,T. J.,initial
astro-ph|Abbasi|R. U.,R. U.,initial
astro-ph|Champion|B.,B.,initial
astro-ph|Gallagher|P. T.,P. T.,initial
astro-ph|Watson|R. A.,R. A.,initial
cond-mat|Mizokawa|T.,T.,initial
physics|Gibson|E.,E.,initial
astro-ph|Brenzke|M.,M.,initial
physics|Pochodzalla|J.,J.,initial
gr-qc|Márka|Z.,Z.,initial
hep-ph|Stadnik|Y. V.,Y. V.,initial
math|Chandankumar|S.,S.,initial
hep-ex|Ortigoza|Y.,Y.,initial
cond-mat|Hosokoshi|Y.,Y.,initial
astro-ph|Donath|A.,A.,initial
physics|Lefevre|T.,T.,initial
astro-ph|Reynaldi|V.,V.,initial
astro-ph|Rossetti|M.,M.,initial
astro-ph|Fèvre|O. Le,O. Le,initial
gr-qc|Miller|A. L.,A. L.,initial
hep-ex|Tomé|B.,B.,initial
hep-ph|Neves|F. Bento,F. Bento,initial
astro-ph|Ganguly|A.,A.,initial
nucl-th|Horvat|S.,S.,initial
physics|Zhao|X. Y.,X. Y.,initial
nucl-ex|Movsisyan|A.,A.,initial
physics|Tiras|E.,E.,initial
nucl-ex|Mistry|K.,K.,initial
astro-ph|Molina|I.,I.,initial
hep-ph|Weinstein|L. B.,L. B.,initial
hep-ex|Reiter|S.,S.,initial
hep-ph|Vahle|P.,P.,initial
hep-ph|Zhou|Z. Y.,Z. Y.,initial
astro-ph|Liu|R.,R.,initial
nucl-ex|Baltzell|N. A.,N. A.,initial
hep-th|Bezerra|V. B.,V. B.,initial
astro-ph|Della Valle|M.,M.,initial
astro-ph|Kale|R.,R.,initial
cond-mat|Lorenz|T.,T.,initial
hep-ex|Torrent|J.,J.,initial
astro-ph|Ubhi|A. S.,A. S.,initial
gr-qc|Doravari|S.,S.,initial
hep-ex|Kim|S. K.,S. K.,initial
hep-ex|Bauche|J.,J.,initial
physics|Dennis|S. R.,S. R.,initial
astro-ph|Meisel|Z.,Z.,initial
physics|Yang|K.,K.,initial
astro-ph|Nibarger|J. P.,J. P.,initial
hep-ex|Kolupaeva|L.,L.,initial
hep-ex|Kraishan|A. F.,A. F.,initial
hep-ph|Lou|X. C.,X. C.,initial
hep-ph|Tang|S.,S.,initial
math|Kappeler|T.,T.,initial
math|Graham|C. Robin,C. Robin,initial
astro-ph|Lazzarini|A.,A.,initial
cond-mat|Gibbs|A. S.,A. S.,initial
astro-ph|Hiller|R.,R.,initial
astro-ph|Applegate|D.,D.,initial
astro-ph|Hubbard|A. J. F.,A. J. F.,initial
nucl-ex|Aiola|S.,S.,initial
hep-ph|Loualidi|M. A.,M. A.,initial
astro-ph|Araiza-Duran|J. A.,J. A.,initial
nucl-th|Greenlees|P. T.,P. T.,initial
quant-ph|Sanz|M.,M.,initial
math-ph|Aguirre|A. R.,A. R.,initial
astro-ph|Seidel|J. V.,J. V.,initial
hep-ex|De Filippis|N.,N.,initial
hep-ex|Parsa|S.,S.,initial
astro-ph|Rafferty|H.,H.,initial
nucl-ex|Elekes|Z.,Z.,initial
nucl-ex|Andronic|A.,A.,initial
physics|Kebkal|K. G.,K. G.,initial
physics|Bending|S.,S.,initial
hep-ex|Thurn|J.,J.,initial
physics|Fränkle|F. M.,F. M.,initial
astro-ph|Mosquera|M. E.,M. E.,initial
physics|Prasad|S. K.,S. K.,initial
nucl-ex|Cortesi|M.,M.,initial
hep-ex|Somov|A.,A.,initial
astro-ph|Shvartzvald|Y.,Y.,initial
hep-ex|Miki|K.,K.,initial
hep-ex|Longstaff|I.,I.,initial
physics|Daniels|T.,T.,initial
astro-ph|Bianchi|S.,S.,initial
physics|Letourneau|A.,A.,initial
hep-ex|Sinha|L.,L.,initial
cond-mat|Schulenburg|J.,J.,initial
math|Isidro|J. M.,J. M.,initial
hep-ph|Kim|B.,B.,initial
hep-ex|Dremin|I. M.,I. M.,initial
physics|Hartbrich|O.,O.,initial
gr-qc|Kobayashi|Y.,Y.,initial
quant-ph|Joshi|M. K.,M. K.,initial
hep-ex|Voena|C.,C.,initial
astro-ph|Szabelski|J.,J.,initial
astro-ph|Skowron|D.,D.,initial
astro-ph|Predoi|V.,V.,initial
physics|Righini|G.,G.,initial
astro-ph|Peens-Hough|A.,A.,initial
cond-mat|Wong|H. -S. Philip,H. -S. Philip,initial
hep-ex|Taniguchi|N.,N.,initial
physics|Berish|D.,D.,initial
quant-ph|Shrapnel|S.,S.,initial
astro-ph|Cazzoletti|P.,P.,initial
hep-ex|Raikov|G.,G.,initial
hep-ph|Patrizii|L.,L.,initial
math|Yogeshwaran|D.,D.,initial
nucl-ex|Dozono|M.,M.,initial
nucl-ex|Gradl|W.,W.,initial
hep-ph|Arroyave|M. A.,M. A.,initial
astro-ph|Tsujimoto|M.,M.,initial
hep-ex|Batozskaya|V.,V.,initial
cond-mat|Loudon|J. C.,J. C.,initial
physics|Pasternak|J.,J.,initial
astro-ph|Arun|K. G.,K. G.,initial
astro-ph|Brandeker|A.,A.,initial
astro-ph|Bunn|E.,E.,initial
hep-ex|Pepe|I. M.,I. M.,initial
astro-ph|Hong|J.,J.,initial
cond-mat|Selter|S.,S.,initial
astro-ph|Papovich|C.,C.,initial
cond-mat|Fink|J.,J.,initial
hep-ex|Matsuda|Y.,Y.,initial
eess|Razavizadeh|S. Mohammad,S. Mohammad,initial
hep-ph|Weber|H. J.,H. J.,initial
physics|McComas|D. J.,D. J.,initial
hep-ex|Hokanson-Fasig|B.,B.,initial
nucl-ex|Jacak|B. V.,B. V.,initial
cond-mat|Sboychakov|A. O.,A. O.,initial
cond-mat|Bezuglyj|A. I.,A. I.,initial
nucl-ex|Wormser|G.,G.,initial
cond-mat|Mele|E. J.,E. J.,initial
hep-ph|Chi|C.,C.,initial
astro-ph|Kosovichev|A. G.,A. G.,initial
hep-ex|Piasetzky|E.,E.,initial
cs|Ahmad|M. Omair,M. Omair,initial
hep-ex|Lang|K.,K.,initial
cond-mat|Sheppard|C. J.,C. J.,initial
nucl-th|Kahl|D.,D.,initial
nucl-ex|Lopez-Martens|A.,A.,initial
physics|Novoselov|K. S.,K. S.,initial
hep-ex|Zhang|L. Q.,L. Q.,initial
hep-ex|Mondal|M. M.,M. M.,initial
physics|Liu|R.,R.,initial
astro-ph|van Eijndhoven|N.,N.,initial
hep-ex|Raiz|S.,S.,initial
astro-ph|Zuzel|G.,G.,initial
astro-ph|Laursen|P.,P.,initial
cond-mat|Golod|T.,T.,initial
physics|Hesslow|L,L,too_short
astro-ph|González-Fernández|C.,C.,initial
hep-ex|Schmitz|D. W.,D. W.,initial
astro-ph|Heininger|M.,M.,initial
hep-ex|Saviano|G.,G.,initial
astro-ph|Bronner|C.,C.,initial
nucl-th|Szymanski|P.,P.,initial
astro-ph|Fafone|V.,V.,initial
physics|Kleesiek|M.,M.,initial
math|Sánchez-Valenzuela|O. A.,O. A.,initial
hep-ph|Elfner|H.,H.,initial
astro-ph|Fedorova|E.,E.,initial
hep-ex|Rondon|J. Rodriguez,J. Rodriguez,initial
astro-ph|Robbe-Dubois|S.,S.,initial
astro-ph|Grafton-Waters|S.,S.,initial
physics|Klempt|C.,C.,initial
physics|Polenta|G.,G.,initial
physics|Granato|F.,F.,initial
astro-ph|Merritt|J. D.,J. D.,initial
astro-ph|Palmese|A.,A.,initial
hep-ph|Rosenfeld|C.,C.,initial
physics|Licciulli|F.,F.,initial
math|Choudhuri|D.,D.,initial
astro-ph|Mukherjee|R.,R.,initial
cond-mat|Jungwirth|T.,T.,initial
hep-th|Bazeia|D.,D.,initial
quant-ph|Tarankova|D. Yu.,D. Yu.,initial
hep-ex|Raguzin|E.,E.,initial
hep-ex|Echevarria|M. G.,M. G.,initial
hep-ph|Adamczyk|L.,L.,initial
hep-ex|Vargas|M.,M.,initial
nucl-ex|Ignatyuk|A. V.,A. V.,initial
cond-mat|Moreo|A.,A.,initial
astro-ph|Lakhchaura|K.,K.,initial
math|Shahbazi|C. S.,C. S.,initial
hep-ex|Silvestrini|L.,L.,initial
hep-ph|Wei|Y.,Y.,initial
astro-ph|Rafanelli|P.,P.,initial
math|Sundar|S.,S.,initial
quant-ph|Huillery|P.,P.,initial
hep-ph|Ostrick|M.,M.,initial
astro-ph|Seo|E. G.,E. G.,initial
hep-ex|Vryonidou|E.,E.,initial
hep-ex|Behera|P. K.,P. K.,initial
nucl-ex|Caravaca|J.,J.,initial
astro-ph|Pries|B.,B.,initial
nucl-ex|Alef|S.,S.,initial
gr-qc|Fontana|R. D. B.,R. D. B.,initial
astro-ph|Trump|J. R.,J. R.,initial
cond-mat|Mourigal|M.,M.,initial
nucl-ex|Niel|E. M.,E. M.,initial
astro-ph|Boeva|S.,S.,initial
hep-th|Stanishkov|M.,M.,initial
astro-ph|Rice|K.,K.,initial
astro-ph|Bissenbayeva|G.,G.,initial
astro-ph|Figaredo|C. Sobrino,C. Sobrino,initial
astro-ph|Ilić|S.,S.,initial
hep-ph|Bakry|A. S.,A. S.,initial
physics|Johnston|J.,J.,initial
physics|Métral|E.,E.,initial
hep-ex|Haesler|A.,A.,initial
physics|Peng|H.,H.,initial
astro-ph|Shinozaki|K.,K.,initial
astro-ph|Pinilla|P.,P.,initial
physics|Lackner|K.,K.,initial
cond-mat|Landig|A. J.,A. J.,initial
nucl-ex|Rischbieter|G. R. C.,G. R. C.,initial
astro-ph|Yada|K.,K.,initial
nucl-th|Deppner|I. M.,I. M.,initial
hep-ex|Karl|M.,M.,initial
cond-mat|Panov|Yu. D.,Yu. D.,initial
astro-ph|Lu|F. J.,F. J.,initial
physics|Di Stefano|P.,P.,initial
cond-mat|Kwek|L. -C.,L. -C.,initial
hep-ph|Schmidt|C.,C.,initial
astro-ph|Malagón|A. A. Plazas,A. A. Plazas,initial
cond-mat|Astrakharchik|G. E.,G. E.,initial
cond-mat|Shi|Y. -G.,Y. -G.,initial
physics|Obligado|M.,M.,initial
nucl-ex|McClellan|R. E.,R. E.,initial
cond-mat|Di Bartolomeo|A.,A.,initial
astro-ph|Calle|F.,F.,initial
astro-ph|Damke|G.,G.,initial
hep-ex|Kheirandish|A.,A.,initial
gr-qc|Adams|A.,A.,initial
astro-ph|Sonnenfeld|A.,A.,initial
astro-ph|Haigron|R.,R.,initial
physics|Barge|D.,D.,initial
astro-ph|Lourenço|O.,O.,initial
astro-ph|Marfil|E.,E.,initial
nucl-ex|Meyer|A.,A.,initial
cond-mat|MacQuarrie|E. R.,E. R.,initial
astro-ph|Balaguera-Antolínez|A.,A.,initial
astro-ph|Leśniewska|A.,A.,initial
physics|Shaybonov|B. A.,B. A.,initial
astro-ph|Zsidi|G.,G.,initial
gr-qc|Arun|K. G.,K. G.,initial
physics|Dobbs|M. A.,M. A.,initial
astro-ph|Di Eusanio|F.,F.,initial
physics|Hoshina|K.,K.,initial
hep-ex|Segui|L.,L.,initial
astro-ph|Jatenco-Pereira|V.,V.,initial
physics|Sekiya|I.,I.,initial
physics|Sosedkin|A. P.,A. P.,initial
physics|Walker|J.,J.,initial
math-ph|Negro|J.,J.,initial
nucl-ex|Poluektov|A.,A.,initial
nucl-th|Choudhury|S.,S.,initial
astro-ph|Meidt|S.,S.,initial
astro-ph|Coppi|G.,G.,initial
astro-ph|Balashev|S.,S.,initial
physics|Hillenbrand|P. -M.,P. -M.,initial
astro-ph|Chen|C. -H. Rosie,C. -H. Rosie,initial
physics|Martínez-Lema|G.,G.,initial
cond-mat|Nam|S. W.,S. W.,initial
astro-ph|Lazzaro|C.,C.,initial
physics|Ma|W. Y.,W. Y.,initial
hep-ex|Zhu|T. J.,T. J.,initial
physics|Barbero|M.,M.,initial
astro-ph|Tzanetatos|D.,D.,initial
nucl-ex|Vretenar|D.,D.,initial
hep-lat|Gelzer|Z.,Z.,initial
astro-ph|Howell|J.,J.,initial
nucl-ex|Ilieva|Y.,Y.,initial
astro-ph|Dekker|H.,H.,initial
hep-ex|Klages|H. O.,H. O.,initial
hep-ex|Vaitkus|A.,A.,initial
astro-ph|Pinto|R. F.,R. F.,initial
astro-ph|Smith|K. W.,K. W.,initial
hep-ex|Bechetoille|E.,E.,initial
hep-ex|Piucci|A.,A.,initial
astro-ph|Zhelnin|P.,P.,initial
hep-ex|Contalbrigo|M.,M.,initial
hep-ex|Fiorentini|G. A.,G. A.,initial
hep-ex|Mermans|J.,J.,initial
physics|Liang|J.,J.,initial
astro-ph|Akyuz|A.,A.,initial
astro-ph|Sánchez-Janssen|R.,R.,initial
cs|Doclo|S.,S.,initial
astro-ph|Rushay|V. D.,V. D.,initial
hep-th|Borstnik|N. S. Mankoc,N. S. Mankoc,initial
astro-ph|Kubik|B.,B.,initial
hep-ph|Peña|M. T.,M. T.,initial
astro-ph|Mandel|K.,K.,initial
hep-ex|Klimov|O.,O.,initial
astro-ph|Gardner|T.,T.,initial
hep-ph|Higinbotham|D. W.,D. W.,initial
physics|Hanley|R. K.,R. K.,initial
gr-qc|Gray|C.,C.,initial
cs|Li|,,na
astro-ph|Bounissou|S.,S.,initial
math-ph|Vainberg|B.,B.,initial
math|Eikelder|M. ten,M. ten,initial
physics|Mizrachi|E.,E.,initial
gr-qc|Sadeghi|J.,J.,initial
hep-ex|Kabir|M. L.,M. L.,initial
quant-ph|Walborn|S. P.,S. P.,initial
cond-mat|Mukhopadhyay|U.,U.,initial
cond-mat|Li|Q.,Q.,initial
cond-mat|Sheng|C. Y.,C. Y.,initial
physics|Castellini|G.,G.,initial
astro-ph|Narola|H.,H.,initial
hep-ex|Calefice|L.,L.,initial
hep-ph|Fulsom|B. G.,B. G.,initial
gr-qc|Macquet|A.,A.,initial
nucl-ex|Costache|C.,C.,initial
physics|Keitel|C. H.,C. H.,initial
physics|Yakushev|E.,E.,initial
hep-ex|Silvermyr|D.,D.,initial
math|Shen|,,na
cond-mat|Mendes-Santos|T.,T.,initial
astro-ph|Rebolo|R.,R.,initial
hep-ph|Caballero|J. A.,J. A.,initial
hep-ph|Dainese|A.,A.,initial
math|Kumar|A. Sathish,A. Sathish,initial
hep-ex|Thomas|J.,J.,initial
astro-ph|Slaven-Blair|T. J.,T. J.,initial
physics|Riconda|C.,C.,initial
cs|Kumar|P. Vijay,P. Vijay,initial
nucl-ex|Pun|A.,A.,initial
math|Jayanthan|A. V.,A. V.,initial
astro-ph|Finelli|F.,F.,initial
hep-ph|Borghi|S.,S.,initial
nucl-ex|Veretennikov|D.,D.,initial
hep-ex|Vannerom|D.,D.,initial
cond-mat|Pereira|A. R.,A. R.,initial
astro-ph|Williams|D. A.,D. A.,initial
hep-ex|Fan|Y. L.,Y. L.,initial
math|Farshadifar|F.,F.,initial
astro-ph|Marka|S.,S.,initial
physics|Müller|C.,C.,initial
hep-ex|Neichi|K.,K.,initial
hep-th|Kumar|S.,S.,initial
hep-ph|Sapienza|P.,P.,initial
astro-ph|Harding|J. P.,J. P.,initial
astro-ph|Morad|J. A.,J. A.,initial
hep-ex|Sarac|Y.,Y.,initial
astro-ph|Cai|B.,B.,initial
astro-ph|Puech|M.,M.,initial
hep-ph|Oberhof|B.,B.,initial
astro-ph|Gaensler|B. M.,B. M.,initial
astro-ph|Mannucci|F.,F.,initial
astro-ph|Dayal|P.,P.,initial
hep-ex|Fusco|L.,L.,initial
nucl-ex|Zhou|J.,J.,initial
nucl-th|Andreoiu|C.,C.,initial
astro-ph|Rebollido|I.,I.,initial
astro-ph|Green|D. A.,D. A.,initial
hep-ph|Camilleri|L.,L.,initial
nucl-ex|Dremin|I. M.,I. M.,initial
astro-ph|Lower|M. E.,M. E.,initial
quant-ph|Arnold|K. J.,K. J.,initial
hep-ph|Prelovsek|S.,S.,initial
astro-ph|Pugliese|D.,D.,initial
astro-ph|Huang|Y. -M.,Y. -M.,initial
astro-ph|Bayley|J. C.,J. C.,initial
astro-ph|Yogesh|,,na
physics|Rossi|B.,B.,initial
nucl-ex|Roche|J.,J.,initial
physics|Wilkins|S. G.,S. G.,initial
nucl-ex|Fraenkel|Z.,Z.,initial
astro-ph|Poretti|E.,E.,initial
nucl-ex|Williams|M.,M.,initial
gr-qc|Nashed|G. G. L.,G. G. L.,initial
hep-ph|Palczewski|T.,T.,initial
hep-ph|Oskin|P.,P.,initial
math|Klein|C.,C.,initial
nucl-ex|Link|J. M.,J. M.,initial
astro-ph|Gomez|A.,A.,initial
hep-ph|Lucarelli|F.,F.,initial
hep-ph|Drielsma|F.,F.,initial
astro-ph|Sawadsky|A.,A.,initial
nucl-ex|Wark|H. M.,H. M.,initial
hep-ex|Kang|J. H.,J. H.,initial
hep-ph|Decowski|M. P.,M. P.,initial
hep-ph|Snihur|R.,R.,initial
astro-ph|Trini|M.,M.,initial
astro-ph|Maruca|B. A.,B. A.,initial
nucl-th|Daugherity|M.,M.,initial
astro-ph|Itoh|Y.,Y.,initial
hep-th|Belhaj|A.,A.,initial
astro-ph|Kirillov|A. A.,A. A.,initial
gr-qc|Richardson|J. W.,J. W.,initial
gr-qc|Steinhoff|J.,J.,initial
nucl-ex|Broussard|L. J.,L. J.,initial
physics|Burkle|B.,B.,initial
astro-ph|Perrotta|F.,F.,initial
astro-ph|Wefel|J. P.,J. P.,initial
astro-ph|Kesteven|M.,M.,initial
nucl-ex|Hodges|A.,A.,initial
hep-ex|Kothekar|K.,K.,initial
nucl-th|Thomas|J. H.,J. H.,initial
nucl-ex|Gros|M.,M.,initial
astro-ph|Lindstrøm|H. E. P.,H. E. P.,initial
cond-mat|Aksenov|V. L.,V. L.,initial
nucl-ex|Harasty|M. D.,M. D.,initial
hep-ex|Kaliyar|A. B.,A. B.,initial
hep-ex|Zwahlen|N.,N.,initial
hep-ph|Fan|Y. L.,Y. L.,initial
hep-ph|Turcati|A.,A.,initial
hep-ph|Wilkinson|C.,C.,initial
hep-ex|Schlösser|K.,K.,initial
hep-ex|Liu|L. Y.,L. Y.,initial
physics|Pawlik-Niedzwiecka|M.,M.,initial
astro-ph|Szulágyi|J.,J.,initial
astro-ph|Osorio|Y.,Y.,initial
hep-ex|Kox|S.,S.,initial
math|Kaya|C. Yalçın,C. Yalçın,initial
astro-ph|Aditya|K.,K.,initial
physics|Büscher|M.,M.,initial
nucl-ex|Raymond|K.,K.,initial
physics|Lindstrøm|C. A.,C. A.,initial
astro-ph|Kim|S. -L.,S. -L.,initial
cond-mat|Shaw|J. M.,J. M.,initial
nucl-ex|Gorla|P.,P.,initial
cond-mat|Merz|M.,M.,initial
hep-ph|Panshin|G.,G.,initial
hep-ph|Fürst|P.,P.,initial
astro-ph|Goos|I.,I.,initial
astro-ph|Usoskin|I. G.,I. G.,initial
quant-ph|Druga|E.,E.,initial
cond-mat|Minar|J.,J.,initial
nucl-th|Kowal|M.,M.,initial
hep-ph|Gomez|M. Calvo,M. Calvo,initial
hep-th|Aoki|Y.,Y.,initial
cond-mat|Kutnjak|Z.,Z.,initial
physics|Petkov|E. G.,E. G.,initial
astro-ph|Berthier|J.,J.,initial
hep-ph|Obikhod|T. V.,T. V.,initial
physics|Xu|W.,W.,initial
astro-ph|Weller|J.,J.,initial
astro-ph|Miralda-Escudé|J.,J.,initial
hep-ph|Hahn|A.,A.,initial
astro-ph|Peron|G.,G.,initial
q-bio|Marchetti|M. Cristina,M. Cristina,initial
astro-ph|Gao|Q.,Q.,initial
astro-ph|Hofmann|K. -H.,K. -H.,initial
hep-ex|Niculescu-Oglinzanu|M.,M.,initial
nucl-ex|Belmont|R.,R.,initial
physics|Cheng|J.,J.,initial
hep-ex|Crespo-Anadón|J. I.,J. I.,initial
astro-ph|Biland|A.,A.,initial
hep-ph|Hautmann|F.,F.,initial
hep-ph|Saragnese|M.,M.,initial
gr-qc|Laghi|D.,D.,initial
physics|Nie|Q. Y.,Q. Y.,initial
cs|Martínez-Pañeda|E.,E.,initial
cond-mat|Rasmussen|S. E.,S. E.,initial
astro-ph|Krishnakumar|M. A.,M. A.,initial
hep-ex|Balashov|N.,N.,initial
hep-ex|Zotti|L.,L.,initial
nucl-th|Itagaki|N.,N.,initial
astro-ph|Grandi|D.,D.,initial
gr-qc|Bhaumik|S.,S.,initial
astro-ph|Huber|M.,M.,initial
hep-ex|Akbar|F.,F.,initial
physics|De Petris|M.,M.,initial
astro-ph|Fudamoto|Y.,Y.,initial
astro-ph|Barrillon|P.,P.,initial
physics|Juel|A.,A.,initial
hep-ph|Ruchayskiy|O.,O.,initial
astro-ph|Schootemeijer|A.,A.,initial
nucl-ex|Rebreyend|D.,D.,initial
gr-qc|Vedovato|G.,G.,initial
hep-ex|Palomares|C.,C.,initial
astro-ph|Gu|Y. D.,Y. D.,initial
physics|Russano|G.,G.,initial
nucl-ex|Jones|D.,D.,initial
astro-ph|Gaemers|P.,P.,initial
physics|Kocher|C. D.,C. D.,initial
astro-ph|Dadoun|O.,O.,initial
