hashed_author,first_name,name_key,gender,probability,count,gender_final
hep-ph|Bhardwaj|Akanksha,Akanksha,akanksha,female,1.0,17488.0,female
math|Sopena|Éric,Éric,éric,male,1.0,987132.0,male
astro-ph|McCormac|James,James,james,male,1.0,1459299.0,male
cond-mat|Liu|Guo-Dong,Guo-Dong,guo-dong,,0.0,0.0,unknown
hep-ex|Duarte|Javier,Javier,javier,male,1.0,794996.0,male
cs|Petrillo|Umberto Ferraro,Umberto Ferraro,umberto,male,1.0,51888.0,male
cond-mat|Dubessy|Romain,Romain,romain,male,0.99,119367.0,male
hep-ph|Smith|Christopher,Christopher,christopher,male,1.0,661393.0,male
math|Larios|Adam,Adam,adam,male,0.98,837770.0,male
astro-ph|Leurini|Silvia,Silvia,silvia,female,1.0,693980.0,female
quant-ph|Liu|Jun-Hao,Jun-Hao,jun-hao,male,0.86,5.0,male
math|Tanaka|Yuuji,Yuuji,yuuji,male,0.99,206.0,male
eess|Mashhadi|Mahdi Boloursaz,Mahdi Boloursaz,mahdi,male,0.97,121070.0,male
math|Hutchcroft|Tom,Tom,tom,male,0.99,842109.0,male
quant-ph|Dzurak|Andrew S.,Andrew S.,andrew,male,1.0,908188.0,male
quant-ph|Egger|Daniel J.,Daniel J.,daniel,male,0.99,2473313.0,male
cs|Singh|Rahul,Rahul,rahul,male,0.99,305222.0,male
cs|Lauter|Kristin,Kristin,kristin,female,1.0,136162.0,female
math|Brady|Zarathustra,Zarathustra,zarathustra,male,0.87,73.0,male
cond-mat|Schlitz|Richard,Richard,richard,male,1.0,1164111.0,male
astro-ph|Imamura|Takeshi,Takeshi,takeshi,male,0.99,3944.0,male
math|Claeys|Xavier,Xavier,xavier,male,0.99,188753.0,male
math|Parzanchevski|Ori,Ori,ori,male,0.71,7200.0,male
cond-mat|Motrunich|Olexei I.,Olexei I.,olexei,male,0.67,1.0,male
hep-ex|Gori|Stefania,Stefania,stefania,female,1.0,197590.0,female
math|Li|Wei,Wei,wei,male,0.69,20650.0,male
cs|Lee|Minji,Minji,minji,female,0.98,2409.0,female
astro-ph|Nittler|Larry R.,Larry R.,larry,male,1.0,299821.0,male
cond-mat|Castro|Eduardo V.,Eduardo V.,eduardo,male,1.0,717637.0,male
q-bio|Grotegerd|Dominik,Dominik,dominik,male,0.99,106328.0,male
physics|Ma|Chao,Chao,chao,male,0.83,3880.0,male
math|Zhang|Jingxuan,Jingxuan,jingxuan,female,0.68,151.0,female
eess|Li|Fangxing,Fangxing,fangxing,male,0.67,4.0,male
astro-ph|Ness|Melissa,Melissa,melissa,female,1.0,656997.0,female
physics|Sun|Chao,Chao,chao,male,0.83,3880.0,male
physics|van Rees|Wim M.,Wim M.,wim,male,0.99,30351.0,male
cond-mat|Streib|Simon,Simon,simon,male,0.99,530211.0,male
cs|Kuchta|Miroslav,Miroslav,miroslav,male,1.0,71628.0,male
cs|Fang|Weijun,Weijun,weijun,male,0.87,275.0,male
cond-mat|Su|Guangxu,Guangxu,guangxu,male,0.83,16.0,male
cs|Henshaw|William D.,William D.,william,male,1.0,916147.0,male
math|Lacabanne|Abel,Abel,abel,male,0.99,134629.0,male
physics|Popov|Vladislav,Vladislav,vladislav,male,1.0,26729.0,male
hep-th|Contreras-Astorga|Alonso,Alonso,alonso,male,0.99,64338.0,male
gr-qc|Mandal|Sanjay,Sanjay,sanjay,male,0.99,198698.0,male
math|Khan|Usman A.,Usman A.,usman,male,0.97,103047.0,male
quant-ph|Patra|Aniket,Aniket,aniket,male,1.0,27045.0,male
hep-ex|Wiebusch|Christopher,Christopher,christopher,male,1.0,661393.0,male
cond-mat|Tang|Peizhe,Peizhe,peizhe,male,0.71,12.0,male
cs|Fang|Xiaolei,Xiaolei,xiaolei,male,0.58,326.0,male
cs|Imbach|Rémi,Rémi,rémi,male,0.92,38135.0,male
gr-qc|Ashton|Gregory,Gregory,gregory,male,1.0,214586.0,male
astro-ph|Rameau|Julien,Julien,julien,male,0.99,324082.0,male
physics|Reitzenstein|Stephan,Stephan,stephan,male,1.0,110965.0,male
eess|Zhao|Pan,Pan,pan,male,0.68,7672.0,male
stat|Lévy-Leduc|Céline,Céline,céline,female,0.99,191285.0,female
astro-ph|Kinney|William H.,William H.,william,male,1.0,916147.0,male
astro-ph|Schwabe|Bodo,Bodo,bodo,male,0.92,3849.0,male
astro-ph|Hörandel|Jörg R.,Jörg R.,jörg,male,1.0,21605.0,male
physics|Lodewyck|Jérôme,Jérôme,jérôme,male,0.99,209630.0,male
astro-ph|Smith|Roger M.,Roger M.,roger,male,1.0,378214.0,male
eess|Fonseca|Eduardo,Eduardo,eduardo,male,1.0,717637.0,male
cs|Chennupati|Gopinath,Gopinath,gopinath,male,0.98,1539.0,male
math|Chen|Fangjiong,Fangjiong,fangjiong,,0.0,0.0,unknown
math|Ieno|Yasushi,Yasushi,yasushi,male,1.0,763.0,male
physics|Zaccaria|Andrea,Andrea,andrea,female,0.69,1681597.0,female
quant-ph|Kunz|Paul D.,Paul D.,paul,male,1.0,1471548.0,male
math|Shinohara|Kazunori,Kazunori,kazunori,male,1.0,593.0,male
astro-ph|Kamann|Sebastian,Sebastian,sebastian,male,1.0,498966.0,male
math|Coeurjolly|Jean-François,Jean-François,jean-françois,male,0.99,15351.0,male
cs|Havoutis|Ioannis,Ioannis,ioannis,male,1.0,21672.0,male
math|Tammer|Christiane,Christiane,christiane,female,0.99,94365.0,female
quant-ph|Hartley|Daniel,Daniel,daniel,male,0.99,2473313.0,male
math|Feller|Peter,Peter,peter,male,1.0,1352696.0,male
math|Chaffey|Thomas,Thomas,thomas,male,1.0,1246668.0,male
cond-mat|Larson|Jonas,Jonas,jonas,male,0.99,159436.0,male
cond-mat|Lewenkopf|Caio,Caio,caio,male,1.0,48373.0,male
astro-ph|Schwartz|Daniel A.,Daniel A.,daniel,male,0.99,2473313.0,male
quant-ph|Morelli|Simon,Simon,simon,male,0.99,530211.0,male
math|Korolev|Yury,Yury,yury,male,0.61,11928.0,male
cond-mat|Geng|Hao,Hao,hao,male,0.87,6408.0,male
math|Heim|Bernhard,Bernhard,bernhard,male,1.0,39305.0,male
cs|Shahin|Ramy,Ramy,ramy,male,0.97,64663.0,male
astro-ph|Bauswein|Andreas,Andreas,andreas,male,1.0,341520.0,male
cond-mat|Akimoto|Takuma,Takuma,takuma,male,1.0,1729.0,male
math-ph|Moosavi|Per,Per,per,male,0.95,19237.0,male
cs|Konashevych|Oleksii,Oleksii,oleksii,male,1.0,467.0,male
astro-ph|Palmerini|Sara,Sara,sara,female,0.98,1477473.0,female
hep-th|de Boer|Jan,Jan,jan,male,0.89,344604.0,male
quant-ph|Tiurev|Konstantin,Konstantin,konstantin,male,1.0,42053.0,male
astro-ph|Kang|Wonseok,Wonseok,wonseok,male,0.99,145.0,male
astro-ph|Bartkiewicz|Anna,Anna,anna,female,0.99,1674217.0,female
gr-qc|Myrzakulov|Ratbay,Ratbay,ratbay,male,0.67,1.0,male
math|Kamińska|Anna,Anna,anna,female,0.99,1674217.0,female
math|Young|Matthew B.,Matthew B.,matthew,male,1.0,653743.0,male
hep-ex|Park|Jiwon,Jiwon,jiwon,female,0.9,3049.0,female
cond-mat|Kitatani|Motoharu,Motoharu,motoharu,male,0.99,67.0,male
quant-ph|Kheirandish|Fardin,Fardin,fardin,male,0.98,4817.0,male
math|Uhlig|Frank,Frank,frank,male,1.0,679482.0,male
astro-ph|Gontcharov|George A.,George A.,george,male,0.99,673257.0,male
math|Orban|Dominique,Dominique,dominique,male,0.52,139629.0,male
cond-mat|Feinberg|Joshua,Joshua,joshua,male,1.0,399422.0,male
cs|Nguyen|Anh,Anh,anh,female,0.52,5133.0,female
hep-ph|Ahmed|Aqeel,Aqeel,aqeel,male,0.99,11404.0,male
hep-ph|Riembau|Marc,Marc,marc,male,1.0,523874.0,male
gr-qc|Dengiz|Suat,Suat,suat,male,0.97,28396.0,male
gr-qc|Zhang|Pierre,Pierre,pierre,male,0.99,380234.0,male
quant-ph|Xu|Yu,Yu,yu,female,0.51,21594.0,female
cond-mat|Schneider|Michael,Michael,michael,male,1.0,2538090.0,male
cs|Kovacs|Geza,Geza,geza,male,0.97,2441.0,male
math|Cardaliaguet|Pierre,Pierre,pierre,male,0.99,380234.0,male
quant-ph|Mandayam|Prabha,Prabha,prabha,female,0.55,2445.0,female
hep-th|Baiguera|Stefano,Stefano,stefano,male,1.0,399957.0,male
hep-ph|Mueller|Alfred H.,Alfred H.,alfred,male,0.99,116115.0,male
math|Goel|Gopal,Gopal,gopal,male,0.98,53965.0,male
cond-mat|Pelofske|Elijah,Elijah,elijah,male,0.99,41457.0,male
cs|Blanco|Roberto,Roberto,roberto,male,1.0,988421.0,male
cond-mat|Ma|Tianxing,Tianxing,tianxing,male,0.7,28.0,male
physics|Forget|François,François,françois,male,0.99,145512.0,male
cond-mat|Pramanik|Arindam,Arindam,arindam,male,0.99,1291.0,male
astro-ph|Bejger|Michał,Michał,michał,male,0.94,146051.0,male
physics|Alegre|Thiago P. Mayer,Thiago P. Mayer,thiago,male,1.0,161151.0,male
physics|Bacigalupo|Andrea,Andrea,andrea,female,0.69,1681597.0,female
math|Cavagnari|Giulia,Giulia,giulia,female,0.99,252152.0,female
gr-qc|Gundhi|Anirudh,Anirudh,anirudh,male,1.0,12538.0,male
physics|Vines|Lasse,Lasse,lasse,male,1.0,24938.0,male
q-fin|Schmidt|Johannes,Johannes,johannes,male,1.0,90835.0,male
math|Gamal|Abbas El,Abbas El,abbas,male,0.98,87930.0,male
math|Wang|Weijia,Weijia,weijia,female,0.58,199.0,female
physics|Pothoczki|Szilvia,Szilvia,szilvia,female,0.99,10910.0,female
quant-ph|Miller|Warner A.,Warner A.,warner,male,0.99,4280.0,male
gr-qc|Duque|Francisco,Francisco,francisco,male,1.0,930926.0,male
math|Bahrouni|Sabri,Sabri,sabri,male,0.9,47253.0,male
cond-mat|Ono|Shota,Shota,shota,male,0.99,4053.0,male
cs|Kwasniewski|Grzegorz,Grzegorz,grzegorz,male,1.0,107969.0,male
hep-lat|Vairo|Antonio,Antonio,antonio,male,0.99,1711651.0,male
math|Karn|Anil Kumar,Anil Kumar,anil,male,0.99,212204.0,male
astro-ph|Li|Zhuo,Zhuo,zhuo,male,0.59,659.0,male
cs|Sun|Zhiyong,Zhiyong,zhiyong,male,0.97,313.0,male
cond-mat|Zhang|Shengbai,Shengbai,shengbai,male,0.67,1.0,male
cs|Salkuyeh|Davod Khojasteh,Davod Khojasteh,davod,male,0.97,1652.0,male
quant-ph|Takeda|Kenta,Kenta,kenta,male,0.98,1827.0,male
cond-mat|Friend|Richard H.,Richard H.,richard,male,1.0,1164111.0,male
math-ph|Fairén|Victor,Victor,victor,male,1.0,942372.0,male
cs|Stachniss|Cyrill,Cyrill,cyrill,male,0.97,2599.0,male
astro-ph|Baker|Michael J.,Michael J.,michael,male,1.0,2538090.0,male
math|Jung|Minchae,Minchae,minchae,female,0.7,18.0,female
physics|Yarita|Keigo,Keigo,keigo,male,0.99,1022.0,male
astro-ph|Denton|Peter B.,Peter B.,peter,male,1.0,1352696.0,male
quant-ph|Rebón|Lorena,Lorena,lorena,female,0.99,341994.0,female
cs|Stirbu|Vlad,Vlad,vlad,male,0.98,54743.0,male
cond-mat|Pradhan|Kalpataru,Kalpataru,kalpataru,male,0.94,65.0,male
math|Roncal|Luz,Luz,luz,female,0.98,133883.0,female
cs|Semerjian|Guilhem,Guilhem,guilhem,male,0.99,2511.0,male
quant-ph|Franco|Ignacio,Ignacio,ignacio,male,1.0,148854.0,male
physics|Boscolo|Manuela,Manuela,manuela,female,0.99,260565.0,female
math-ph|Perlick|Volker,Volker,volker,male,1.0,14055.0,male
cond-mat|Fischer|Uwe R.,Uwe R.,uwe,male,1.0,61133.0,male
quant-ph|Li|Chang,Chang,chang,male,0.68,10839.0,male
cond-mat|Xiong|Daxing,Daxing,daxing,male,0.93,27.0,male
math|Schwede|Stefan,Stefan,stefan,male,0.99,365043.0,male
cond-mat|Nori|Franco,Franco,franco,male,0.99,268642.0,male
hep-th|Chicherin|Dmitry,Dmitry,dmitry,male,1.0,73708.0,male
quant-ph|Li|Gushu,Gushu,gushu,male,0.78,7.0,male
astro-ph|Berge|David,David,david,male,1.0,3494330.0,male
astro-ph|Sasaki|Shin,Shin,shin,male,0.66,6175.0,male
astro-ph|Ferreras|Ignacio,Ignacio,ignacio,male,1.0,148854.0,male
cond-mat|Tencé|Marcel,Marcel,marcel,male,0.98,144082.0,male
astro-ph|Bohn|Thomas,Thomas,thomas,male,1.0,1246668.0,male
astro-ph|Majewski|Steven R.,Steven R.,steven,male,1.0,623298.0,male
math|White|Francis,Francis,francis,male,0.88,124756.0,male
math|Marnat|Antoine,Antoine,antoine,male,0.99,181959.0,male
astro-ph|Santucci|Rafael M.,Rafael M.,rafael,male,1.0,637217.0,male
quant-ph|Nomura|Yusuke,Yusuke,yusuke,male,1.0,8245.0,male
astro-ph|Cheng|Yun-Ting,Yun-Ting,yun-ting,female,0.67,19.0,female
cond-mat|Li|Xiang,Xiang,xiang,male,0.9,9605.0,male
astro-ph|Pfrommer|Christoph,Christoph,christoph,male,1.0,89527.0,male
quant-ph|Beverland|Michael,Michael,michael,male,1.0,2538090.0,male
nucl-ex|Guo|Feng-Kun,Feng-Kun,feng-kun,,0.0,0.0,unknown
hep-ph|Petriello|Frank,Frank,frank,male,1.0,679482.0,male
cs|Jana|Satyabrata,Satyabrata,satyabrata,male,0.99,354.0,male
eess|Gui|Lin,Lin,lin,female,0.67,28806.0,female
cs|Frolov|Alexey,Alexey,alexey,male,1.0,30980.0,male
hep-ex|Ping|Jialun,Jialun,jialun,male,0.82,58.0,male
cs|Jensen|Max,Max,max,male,0.99,404006.0,male
cs|Bursalioglu|Ozgun Y.,Ozgun Y.,ozgun,male,0.82,1361.0,male
cond-mat|Kimura|Kazuhiro,Kazuhiro,kazuhiro,male,1.0,3803.0,male
cs|Yang|Zhan,Zhan,zhan,male,0.78,2667.0,male
astro-ph|Duffy|Alan R.,Alan R.,alan,male,1.0,514255.0,male
math|Zong|Chuanming,Chuanming,chuanming,male,0.86,12.0,male
cs|Seara|Carlos,Carlos,carlos,male,1.0,2154944.0,male
physics|Schöffler|Markus S.,Markus S.,markus,male,1.0,202543.0,male
math|Mesbahi|Mehran,Mehran,mehran,male,0.99,19796.0,male
physics|Proment|Davide,Davide,davide,male,1.0,317009.0,male
cs|Nesetril|Jaroslav,Jaroslav,jaroslav,male,0.99,54192.0,male
hep-th|Guo|Feng-Kun,Feng-Kun,feng-kun,,0.0,0.0,unknown
cs|Cristiá|Maximiliano,Maximiliano,maximiliano,male,1.0,45275.0,male
physics|Chaudhuri|Swetaprovo,Swetaprovo,swetaprovo,,0.0,0.0,unknown
quant-ph|Mortezapour|Ali,Ali,ali,male,0.95,1564127.0,male
econ|Alejo|Javier,Javier,javier,male,1.0,794996.0,male
math|Lukáčová-Medvid'ová|Mária,Mária,mária,female,0.99,4097023.0,female
math|Cheng|Xu,Xu,xu,male,0.91,21672.0,male
hep-th|Schäfer|Andreas,Andreas,andreas,male,1.0,341520.0,male
math-ph|You|Jiangong,Jiangong,jiangong,male,0.89,17.0,male
nucl-th|Zhu|Xinmei,Xinmei,xinmei,female,0.98,56.0,female
physics|Cederbaum|Lorenz S.,Lorenz S.,lorenz,male,0.98,10609.0,male
physics|Cakir|Altan,Altan,altan,male,0.98,9359.0,male
math|Panagiotou|Konstantinos,Konstantinos,konstantinos,male,1.0,28067.0,male
stat|Neto|Elias Chaibub,Elias Chaibub,elias,male,0.99,172477.0,male
cs|Hauenstein|Jonathan D.,Jonathan D.,jonathan,male,1.0,795354.0,male
astro-ph|Sugizaki|Mutsumi,Mutsumi,mutsumi,female,0.81,259.0,female
quant-ph|Facchini|Alessandro,Alessandro,alessandro,male,1.0,567590.0,male
eess|Liu|Ya-Feng,Ya-Feng,ya-feng,,0.0,0.0,unknown
math|Shimizu|Yasutaka,Yasutaka,yasutaka,male,0.99,277.0,male
cs|Ortiz|Michael,Michael,michael,male,1.0,2538090.0,male
cond-mat|Ala-Nissila|Tapio,Tapio,tapio,male,1.0,2789.0,male
physics|Tao|Yi,Yi,yi,female,0.57,11109.0,female
cs|Ye|Dengpan,Dengpan,dengpan,male,0.75,2.0,male
math|An|Zhongshan,Zhongshan,zhongshan,male,0.95,20.0,male
physics|Puri|Prateek,Prateek,prateek,male,1.0,23035.0,male
eess|Furieri|Luca,Luca,luca,male,0.97,444096.0,male
cond-mat|Shchur|Lev N.,Lev N.,lev,male,0.96,4401.0,male
math|Imeri|Kthim,Kthim,kthim,male,0.75,2.0,male
astro-ph|Cazzoli|Sara,Sara,sara,female,0.98,1477473.0,female
cs|Smida|Besma,Besma,besma,female,0.98,5944.0,female
astro-ph|Jalilvand|Mona,Mona,mona,female,0.97,271965.0,female
cond-mat|Choi|Kyoung Hwan,Kyoung Hwan,kyoung,male,0.62,845.0,male
cond-mat|Ryabov|Artem,Artem,artem,male,0.99,43455.0,male
eess|He|Hengtao,Hengtao,hengtao,male,0.8,3.0,male
astro-ph|Jha|Saurabh W.,Saurabh W.,saurabh,male,1.0,72526.0,male
cs|Ahmed|Reyan,Reyan,reyan,male,0.77,1029.0,male
gr-qc|Tsagas|Christos G.,Christos G.,christos,male,1.0,28597.0,male
stat|Romberg|Justin,Justin,justin,male,0.99,440251.0,male
gr-qc|Oliosi|Michele,Michele,michele,female,0.56,560463.0,female
cs|Jiang|Zhihao,Zhihao,zhihao,male,0.98,344.0,male
gr-qc|Miao|Rong-Xin,Rong-Xin,rong-xin,,0.0,0.0,unknown
math|Zaccagnini|Alessandro,Alessandro,alessandro,male,1.0,567590.0,male
cond-mat|Kakurai|Kazuhisa,Kazuhisa,kazuhisa,male,1.0,227.0,male
cond-mat|Ye|Kevin,Kevin,kevin,male,1.0,1276301.0,male
hep-ph|Braaten|Eric,Eric,eric,male,1.0,987132.0,male
hep-ph|Chianese|Marco,Marco,marco,male,1.0,1343806.0,male
physics|Caselle|Michele,Michele,michele,female,0.56,560463.0,female
math|Petitjean|Colin,Colin,colin,male,1.0,178285.0,male
cs|Yim|Mark,Mark,mark,male,1.0,1379584.0,male
cs|Pandya|Paritosh K.,Paritosh K.,paritosh,male,0.96,962.0,male
cond-mat|Marques|Carlos M.,Carlos M.,carlos,male,1.0,2154944.0,male
math|Xing|Chengwen,Chengwen,chengwen,male,0.85,46.0,male
math|Isobe|Ryotaro,Ryotaro,ryotaro,male,1.0,523.0,male
cond-mat|van der Schoot|Paul,Paul,paul,male,1.0,1471548.0,male
math|Patáková|Zuzana,Zuzana,zuzana,female,1.0,64999.0,female
astro-ph|Venn|Kim A.,Kim A.,kim,female,0.75,196601.0,female
cs|Stefanatos|Stelios,Stelios,stelios,male,1.0,12181.0,male
math|Zhang|Panpan,Panpan,panpan,male,0.55,536.0,male
astro-ph|Song|Li-Ming,Li-Ming,li-ming,male,0.71,15.0,male
gr-qc|Bermudez|David,David,david,male,1.0,3494330.0,male
physics|Mokhtari|Amir Ashkan,Amir Ashkan,amir,male,0.97,345251.0,male
cond-mat|Liu|Yanqing,Yanqing,yanqing,female,0.66,183.0,female
cond-mat|Hasegawa|Takumi,Takumi,takumi,male,0.99,3054.0,male
quant-ph|Burghardt|Irene,Irene,irene,female,0.99,381311.0,female
physics|Kuzyk|Mark G.,Mark G.,mark,male,1.0,1379584.0,male
cond-mat|Laflorencie|Nicolas,Nicolas,nicolas,male,1.0,595111.0,male
cond-mat|Chen|Chun-Wei,Chun-Wei,chun-wei,male,0.93,38.0,male
physics|Günay|Mehmet,Mehmet,mehmet,male,0.99,799245.0,male
quant-ph|Goyeneche|Dardo,Dardo,dardo,male,0.98,1033.0,male
astro-ph|Lawrence|Jon,Jon,jon,male,0.99,301029.0,male
cond-mat|Li|Run-Wei,Run-Wei,run-wei,,0.0,0.0,unknown
hep-th|Vasquez|Juan Carlos,Juan Carlos,juan,male,0.99,2145368.0,male
astro-ph|Xia|Qianli,Qianli,qianli,male,0.8,49.0,male
nucl-ex|Phuc|Nguyen Hoang,Nguyen Hoang,nguyen,male,0.58,15041.0,male
physics|Johnson|Brett C.,Brett C.,brett,male,1.0,120729.0,male
cs|Natarajan|Lakshmi,Lakshmi,lakshmi,female,0.97,45656.0,female
cs|Batoul|Aicha,Aicha,aicha,female,0.97,96991.0,female
math|Volec|Jan,Jan,jan,male,0.89,344604.0,male
cond-mat|Hayashi|Shin,Shin,shin,male,0.66,6175.0,male
quant-ph|van Dijk|Jeroen P. G.,Jeroen P. G.,jeroen,male,1.0,73496.0,male
astro-ph|Dotson|Jessie L.,Jessie L.,jessie,female,0.79,40710.0,female
math|Guo|Victor J. W.,Victor J. W.,victor,male,1.0,942372.0,male
math|Bai|Zhidong,Zhidong,zhidong,male,0.9,79.0,male
hep-th|Tonni|Erik,Erik,erik,male,0.99,283358.0,male
math|Özdogan|Özgecan,Özgecan,özgecan,female,0.9,124.0,female
